date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:40	13556/13556	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jun%202018%2013:36:36%20GMT	https://colorlib.com/preview/theme/brighthotel/blog.html	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/blog.html	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:42	13180/13180	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jun%202018%2013:36:37%20GMT	https://colorlib.com/preview/theme/brighthotel/contact.html	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/contact.html	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:44	314962/314962	---M--	200	added ('OK')	image/jpeg	etag:%225b37878e-4d678%22	https://colorlib.com/preview/theme/brighthotel/images/bg_2.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/bg_2.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:46	75820/75820	---M--	200	added ('OK')	image/jpeg	etag:%225b378794-12e59%22	https://colorlib.com/preview/theme/brighthotel/images/img_1.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_1.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:47	270865/270865	---M--	200	added ('OK')	image/jpeg	etag:%225b378794-42211%22	https://colorlib.com/preview/theme/brighthotel/images/bg_3.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/bg_3.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:47	55660/55660	---M--	200	added ('OK')	image/jpeg	etag:%225b378798-dd4e%22	https://colorlib.com/preview/theme/brighthotel/images/img_3.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_3.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:48	72772/72772	---M--	200	added ('OK')	image/jpeg	etag:%225b378798-11e93%22	https://colorlib.com/preview/theme/brighthotel/images/img_2.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_2.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:48	72485/72485	---M--	200	added ('OK')	image/jpeg	etag:%225b37879c-11c49%22	https://colorlib.com/preview/theme/brighthotel/images/img_4.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_4.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:48	292250/292250	---M--	200	added ('OK')	image/jpeg	etag:%225b37878f-4816e%22	https://colorlib.com/preview/theme/brighthotel/images/bg_1.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/bg_1.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:48	40128/40128	---M--	200	added ('OK')	image/jpeg	etag:%225b37879d-9cc0%22	https://colorlib.com/preview/theme/brighthotel/images/img_5.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_5.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:49	65276/65276	---M--	200	added ('OK')	image/jpeg	etag:%225b3787a0-10119%22	https://colorlib.com/preview/theme/brighthotel/images/img_6.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/img_6.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:50	132425/132425	---M--	200	added ('OK')	image/jpeg	etag:%225b3787a8-217f8%22	https://colorlib.com/preview/theme/brighthotel/images/menu_2.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/menu_2.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:51	92505/92505	---M--	200	added ('OK')	image/jpeg	etag:%225b3787ae-16fc6%22	https://colorlib.com/preview/theme/brighthotel/images/menu_4.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/menu_4.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:51	221034/221034	---M--	200	added ('OK')	image/jpeg	etag:%225b3787aa-3814a%22	https://colorlib.com/preview/theme/brighthotel/images/menu_1.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/menu_1.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:52	121184/121184	---M--	200	added ('OK')	image/jpeg	etag:%225b3787ac-1e817%22	https://colorlib.com/preview/theme/brighthotel/images/menu_3.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/menu_3.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:52	21002/21002	---M--	200	added ('OK')	image/jpeg	etag:%225b3787b5-5534%22	https://colorlib.com/preview/theme/brighthotel/images/person_3.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/person_3.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:53	23179/23179	---M--	200	added ('OK')	image/jpeg	etag:%225b3787b0-5de3%22	https://colorlib.com/preview/theme/brighthotel/images/person_2.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/person_2.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:54	100025/100025	---M--	200	added ('OK')	image/jpeg	etag:%225b3787b1-186f8%22	https://colorlib.com/preview/theme/brighthotel/images/person_1.jpg	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/images/person_1.jpg	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:54	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ce2bbde-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:55	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c2-2c9d%22	https://colorlib.com/preview/theme/brighthotel/js/jquery-migrate-3.0.1.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:55	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787cb-41706%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:55	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787d0-4a58%22	https://colorlib.com/preview/theme/brighthotel/js/popper.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/popper.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:56	50676/50676	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c0-c5f4%22	https://colorlib.com/preview/theme/brighthotel/js/bootstrap.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:56	8111/8111	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c5-1faf%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.easing.1.3.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:57	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787cd-2283%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.waypoints.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:57	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c9-3135%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.stellar.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:58	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787cf-a70e%22	https://colorlib.com/preview/theme/brighthotel/js/owl.carousel.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:58	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787c7-4ef8%22	https://colorlib.com/preview/theme/brighthotel/js/jquery.magnific-popup.min.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:58	46820/46820	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787be-b6e4%22	https://colorlib.com/preview/theme/brighthotel/js/bootstrap-datepicker.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/bootstrap-datepicker.js	(from https://colorlib.com/preview/theme/brighthotel/)
11:22:59	14244/14244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3787bd-37a4%22	https://colorlib.com/preview/theme/brighthotel/js/aos.js	C:/Mes%20Sites%20Web/https___colorlib.com_preview_theme_brighthotel_/colorlib.com/preview/theme/brighthotel/js/aos.js	(from https://colorlib.com/preview/theme/brighthotel/)
